country,date,cases,deaths
Africa,2022-05-01,0,2
Africa,2022-05-02,0,2
Africa,2022-05-03,0,2
Africa,2022-05-04,0,2
Africa,2022-05-05,0,2
Africa,2022-05-06,0,2
Africa,2022-05-07,0,2
Africa,2022-05-08,0,2
Africa,2022-05-09,0,2
Africa,2022-05-10,0,2
Africa,2022-05-11,0,2
Africa,2022-05-12,0,2
Africa,2022-05-13,4,2
Africa,2022-05-14,0,2
Africa,2022-05-15,0,2
Africa,2022-05-16,0,2
Africa,2022-05-17,0,2
Africa,2022-05-18,0,2
Africa,2022-05-19,0,2
Africa,2022-05-20,12,2
Africa,2022-05-21,0,2
Africa,2022-05-22,0,2
Africa,2022-05-23,0,2
Africa,2022-05-24,0,2
Africa,2022-05-25,0,2
Africa,2022-05-26,0,2
Africa,2022-05-27,0,2
Africa,2022-05-28,0,2
Africa,2022-05-29,0,2
Africa,2022-05-30,0,2
Africa,2022-05-31,0,2
Africa,2022-06-01,0,2
Africa,2022-06-02,1,2
Africa,2022-06-03,18,3
Africa,2022-06-04,0,3
Africa,2022-06-05,0,3
Africa,2022-06-06,0,3
Africa,2022-06-07,0,3
Africa,2022-06-08,0,3
Africa,2022-06-09,0,3
Africa,2022-06-10,15,3
Africa,2022-06-11,0,3
Africa,2022-06-12,0,3
Africa,2022-06-13,0,3
Africa,2022-06-14,0,3
Africa,2022-06-15,0,3
Africa,2022-06-16,0,3
Africa,2022-06-17,99,3
Africa,2022-06-18,0,3
Africa,2022-06-19,0,3
Africa,2022-06-20,0,3
Africa,2022-06-21,0,3
Africa,2022-06-22,0,3
Africa,2022-06-23,0,3
Africa,2022-06-24,26,3
Africa,2022-06-25,0,3
Africa,2022-06-26,0,3
Africa,2022-06-27,0,3
Africa,2022-06-28,0,3
Africa,2022-06-29,0,3
Africa,2022-06-30,0,3
Africa,2022-07-01,30,4
Africa,2022-07-02,0,4
Africa,2022-07-03,0,4
Africa,2022-07-04,0,4
Africa,2022-07-05,0,4
Africa,2022-07-06,0,4
Africa,2022-07-07,0,4
Africa,2022-07-08,22,4
Africa,2022-07-09,0,4
Africa,2022-07-10,0,4
Africa,2022-07-11,0,4
Africa,2022-07-12,0,4
Africa,2022-07-13,0,4
Africa,2022-07-14,0,4
Africa,2022-07-15,22,4
Africa,2022-07-16,0,4
Africa,2022-07-17,0,4
Africa,2022-07-18,0,4
Africa,2022-07-19,0,4
Africa,2022-07-20,0,4
Africa,2022-07-21,0,4
Africa,2022-07-22,16,4
Africa,2022-07-23,0,4
Africa,2022-07-24,0,4
Africa,2022-07-25,0,4
Africa,2022-07-26,0,4
Africa,2022-07-27,0,4
Africa,2022-07-28,0,4
Africa,2022-07-29,40,5
Africa,2022-07-30,0,5
Africa,2022-07-31,0,5
Africa,2022-08-01,1,5
Africa,2022-08-02,0,5
Africa,2022-08-03,0,5
Africa,2022-08-04,0,5
Africa,2022-08-05,21,8
Africa,2022-08-06,0,8
Africa,2022-08-07,0,8
Africa,2022-08-08,0,8
Africa,2022-08-09,0,8
Africa,2022-08-10,1,8
Africa,2022-08-11,0,8
Africa,2022-08-12,112,8
Africa,2022-08-13,0,8
Africa,2022-08-14,0,8
Africa,2022-08-15,0,8
Africa,2022-08-16,0,8
Africa,2022-08-17,0,8
Africa,2022-08-18,0,8
Africa,2022-08-19,33,13
Africa,2022-08-20,0,13
Africa,2022-08-21,0,13
Africa,2022-08-22,0,13
Africa,2022-08-23,0,13
Africa,2022-08-24,0,13
Africa,2022-08-25,0,13
Africa,2022-08-26,69,13
Africa,2022-08-27,0,13
Africa,2022-08-28,0,13
Africa,2022-08-29,2,13
Africa,2022-08-30,0,13
Africa,2022-08-31,0,13
Africa,2022-09-01,0,13
Africa,2022-09-02,44,14
Africa,2022-09-03,0,14
Africa,2022-09-04,0,14
Africa,2022-09-05,0,14
Africa,2022-09-06,2,14
Africa,2022-09-07,0,14
Africa,2022-09-08,0,14
Africa,2022-09-09,39,14
Africa,2022-09-10,0,14
Africa,2022-09-11,0,14
Africa,2022-09-12,0,14
Africa,2022-09-13,0,14
Africa,2022-09-14,0,14
Africa,2022-09-15,2,15
Africa,2022-09-16,70,15
Africa,2022-09-17,0,15
Africa,2022-09-18,0,15
Africa,2022-09-19,0,15
Africa,2022-09-20,0,15
Africa,2022-09-21,1,15
Africa,2022-09-22,0,15
Africa,2022-09-23,73,15
Africa,2022-09-24,0,15
Africa,2022-09-25,0,15
Africa,2022-09-26,0,15
Africa,2022-09-27,1,15
Africa,2022-09-28,0,15
Africa,2022-09-29,0,15
Africa,2022-09-30,31,15
Africa,2022-10-01,10,15
Africa,2022-10-02,0,15
Africa,2022-10-03,0,15
Africa,2022-10-04,0,15
Africa,2022-10-05,0,15
Africa,2022-10-06,0,15
Africa,2022-10-07,76,15
Africa,2022-10-08,0,15
Africa,2022-10-09,0,15
Africa,2022-10-10,0,15
Africa,2022-10-11,0,15
Africa,2022-10-12,0,15
Africa,2022-10-13,0,15
